participant,AID_instruction,age_gender,notification,VGPQ_before,VGPQ_during,info_of_task,stroop,IGT,corsi,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.7bff3a96-e072-4549-b5b8-9b1c9ad036b2.txt,24565,15000,2855,29653,18444,3704,"","","",7370,2020-11-15-07-59,"",""
s.346babd5-575c-4e06-aecd-c1c509ac22f2.txt,25331,9118,14327,43185,71844,2826,"","","",15025,2020-11-07-06-00,2020-11-07-06-17,17
s.f67c1a74-8a59-4f32-95ac-5e648a746a25.txt,36143,7197,9928,41719,40069,7821,"","","",77997,2020-12-13-20-02,2020-12-13-20-15,13
s.d6be2c1a-bc70-4139-a5b3-12e4fe2af22f.txt,21222,8735,1162137,106282,32623,73080,"","","",12564757,2020-11-11-14-54,2020-11-11-15-46,52
s.99ecc547-b62b-4b70-9819-ae59501a4064.txt,55739,7679,25256,115531,22700,4428,"","","",11450261,2020-12-08-06-46,2020-12-08-07-01,15
s.f8381fa9-553c-4d51-8785-b23dfa4cdee9.txt,43442,7524,73680,266691,97629,5117,"","","",35011,2020-12-12-04-49,2020-12-12-05-08,19
s.7424eceb-f73e-4313-ba0f-f75ba1ea2c4b.txt,49819,8419,10355,80294,54218,3715,"","","",41550,2020-12-15-13-47,2020-12-15-14-00,13
s.a06de4c7-4687-40a1-91e2-014cda3723b2.txt,30293,6008,20493,105454,40876,16750,"","","",106371,2020-12-16-22-39,2020-12-16-22-53,14
s.3d99525c-e320-494f-b88d-655627bc5601.txt,70330,6352,32465,187465,64245,13359,"","","",191352,2020-12-12-19-26,2020-12-12-19-45,19
s.680fc14d-0318-4c6f-b37f-5913c142eadf.txt,53908,13539,"",244036,90084,15670,"","","",14362,2020-11-02-02-47,"",""
s.5418176e-110c-4993-b549-5be01a92b495.txt,60873,8609,11209,119357,42016,2030,"","","",325564,2020-11-18-08-11,2020-11-18-08-25,14
s.b05ed69f-85ed-411e-8a62-1ada71b32479.txt,27692,6167,5227,49073,29904,2787,"","","",37391,2020-12-14-12-33,2020-12-14-12-47,14
s.bd7ffb8c-ce74-48ea-bf45-820b33e4e7a6.txt,41153,9342,16458,100858,37140,9687,"","","",117293,2020-11-10-05-24,2020-11-10-05-38,14
